211,285,1243,2510,2612,3015,3082,3740,4328,4565
4603,4641,4677,5582,6111,6400,6546,6788,6794,6954
7078,7995,8577,8598,8620,8641,10031,10239,10408,11007
11016,11256,11747,12441,12541,13007,13395,13578,13596,13633
14080,14240,14398,14507,14669,14682,14710,15066,15296,15474
15514,15596,15607,16169,16648,17015,17163,17739,18443,18592
18785,19128,19529,20302,20463,20616,20692,20782,20913,20953
21479,21577,21809,21820,21822,21926,22047,22070,22483,23144
23483,23593,23974,24838,25074,25777,26311,26340,26902,27019
27566,28492,29066,29264,29418,29982,30367,30388,31652,32078
