75,358,583,1232,1716,1791,2263,2904,3558,3830
3945,4351,4891,5331,5539,5668,6764,7325,7421,7704
8403,9031,9170,9187,9435,9475,9763,9902,10175,10507
10516,10623,11140,11716,12340,12754,13294,13312,13633,14111
14158,14780,15207,15436,15586,15764,15982,16523,16740,16830
16917,17326,18183,18562,18942,18946,19297,19671,20429,20691
20853,21176,22514,22886,23451,23635,23794,23907,23944,24307
24636,24740,25111,26246,26310,26428,26450,26732,27249,27412
27649,27717,28465,28501,28512,28618,28712,28882,29460,29675
29947,30359,30529,30658,31427,31818,32010,32178,32459,32516
